# n_s=0.967 As=2.1e-09
# ell  Cl_TT_muK2
0	0.00000000000000e+00
1	0.00000000000000e+00
2	1.42702411068295e-10
3	6.76044351065904e-11
4	3.83998309937579e-11
5	2.45255406480964e-11
6	1.69960929508184e-11
7	1.24996332890406e-11
8	9.60751540843313e-12
9	7.64424967529787e-12
10	6.24992611484489e-12
11	5.22050807893004e-12
12	4.44513515137012e-12
13	3.84009127085784e-12
14	3.35873164408997e-12
15	2.96612777830358e-12
16	2.64707815540898e-12
17	2.38434495507949e-12
18	2.16292008355468e-12
19	1.97625338321707e-12
20	1.81433562437752e-12
21	1.67411696766760e-12
22	1.55190319363437e-12
23	1.44412573012297e-12
24	1.34899334677749e-12
25	1.26475734098762e-12
26	1.18921896925275e-12
27	1.12164007522134e-12
28	1.06075435182250e-12
29	1.00561149193672e-12
30	9.55669272884426e-13
31	9.09769689582030e-13
32	8.68107157504059e-13
33	8.29783880599351e-13
34	7.94424494465496e-13
35	7.62103365697731e-13
36	7.31911098508918e-13
37	7.03967340172759e-13
38	6.78111580924670e-13
39	6.54084806031352e-13
40	6.31671755038048e-13
41	6.10682831264189e-13
42	5.90995286969652e-13
43	5.72503941786845e-13
44	5.55130293561394e-13
45	5.38808628910353e-13
46	5.23439811579372e-13
47	5.08941595820765e-13
48	4.95237057321181e-13
49	4.82262444617300e-13
50	4.69982447471678e-13
51	4.58365047923613e-13
52	4.47345755057792e-13
53	4.36861345279514e-13
54	4.26870183414910e-13
55	4.17338578202470e-13
56	4.08266512727967e-13
57	3.99649621740422e-13
58	3.91446986312698e-13
59	3.83610950943624e-13
60	3.76114202274544e-13
61	3.68937948020559e-13
62	3.62064468524474e-13
63	3.55479966595921e-13
64	3.49168449009382e-13
65	3.43119446619144e-13
66	3.37325237818459e-13
67	3.31767700404965e-13
68	3.26426914634577e-13
69	3.21283348435424e-13
70	3.16321675633248e-13
71	3.11529113050238e-13
72	3.06915668537270e-13
73	3.02489962324501e-13
74	2.98243458392105e-13
75	2.94167021696921e-13
76	2.90245384839961e-13
77	2.86452985318090e-13
78	2.82781584560364e-13
79	2.79231475864712e-13
80	2.75799790607495e-13
81	2.72484065532217e-13
82	2.69280441790241e-13
83	2.66181050767002e-13
84	2.63181216011653e-13
85	2.60275665452090e-13
86	2.57459922042079e-13
87	2.54726680756625e-13
88	2.52070406758457e-13
89	2.49489071267716e-13
90	2.46979943908543e-13
91	2.44541137271837e-13
92	2.42169943725696e-13
93	2.39865191062714e-13
94	2.37623604117698e-13
95	2.35444160070947e-13
96	2.33323814837829e-13
97	2.31260355354145e-13
98	2.29252321909835e-13
99	2.27295763958490e-13
100	2.25390088503324e-13
101	2.23532859398606e-13
102	2.21722369652448e-13
103	2.19955816197018e-13
104	2.18231708936164e-13
105	2.16548058336176e-13
106	2.14902978704840e-13
107	2.13294682019777e-13
108	2.11720938431763e-13
109	2.10181215555221e-13
110	2.08673441635711e-13
111	2.07196154211555e-13
112	2.05748416299512e-13
113	2.04328829658962e-13
114	2.02936066270592e-13
115	2.01568864379144e-13
116	2.00226487738878e-13
117	1.98907772695877e-13
118	1.97611165153339e-13
119	1.96336074735163e-13
120	1.95081499101453e-13
121	1.93846484148295e-13
122	1.92629702710512e-13
123	1.91430721772743e-13
124	1.90248716549544e-13
125	1.89082502128118e-13
126	1.87931740805647e-13
127	1.86795331299458e-13
128	1.85672609915390e-13
129	1.84563318200544e-13
130	1.83466465944117e-13
131	1.82381125171579e-13
132	1.81307534383823e-13
133	1.80244511083021e-13
134	1.79191977038551e-13
135	1.78149167271894e-13
136	1.77116029170147e-13
137	1.76091842321921e-13
138	1.75076249284208e-13
139	1.74068584642584e-13
140	1.73069170403822e-13
141	1.72077050425373e-13
142	1.71091936029665e-13
143	1.70113855453523e-13
144	1.69141928593170e-13
145	1.68176209972631e-13
146	1.67215576673476e-13
147	1.66259829458521e-13
148	1.65308492094734e-13
149	1.64361111124783e-13
150	1.63417254779216e-13
151	1.62476230669951e-13
152	1.61538431799881e-13
153	1.60603421988779e-13
154	1.59671312397928e-13
155	1.58741947253374e-13
156	1.57815690378334e-13
157	1.56891872675093e-13
158	1.55970857654073e-13
159	1.55052248557955e-13
160	1.54135910950947e-13
161	1.53221234126710e-13
162	1.52308112210690e-13
163	1.51396443747421e-13
164	1.50485667121795e-13
165	1.49575935338870e-13
166	1.48666940388507e-13
167	1.47758612432390e-13
168	1.46850884626735e-13
169	1.45943692994756e-13
170	1.45036976304993e-13
171	1.44130462328612e-13
172	1.43224524704620e-13
173	1.42318684893094e-13
174	1.41412898691778e-13
175	1.40507327869024e-13
176	1.39601727063238e-13
177	1.38696075489727e-13
178	1.37790159615180e-13
179	1.36884165433278e-13
180	1.35978077960270e-13
181	1.35071692164773e-13
182	1.34165189312642e-13
183	1.33258556295218e-13
184	1.32351596029554e-13
185	1.31444485150096e-13
186	1.30537031558158e-13
187	1.29629408826849e-13
188	1.28721606466275e-13
189	1.27813439514387e-13
190	1.26905077092042e-13
191	1.25996510058018e-13
192	1.25087560154113e-13
